Key,File,Type,UsedInMainMenu,NoTranslate,english,japanese
foodRawFish,items,Item,,,Raw Fish,生魚
foodRawFish_desc,items,Item,,,"Raw fish. Cook it for a nourishing meal. Don't eat it raw.","生の魚。調理すれば栄養ある食事に。生食は危険。"
seasoningMaster,items,Item,,,Seasoning,調味料
foodMirin,items,Item,,,Mirin,みりん
foodMirin_desc,items,Item,,,"Sweet rice wine used for cooking. Essential for Japanese cuisine.","料理に使う甘い米酒。和食に欠かせない調味料。"
foodSake,items,Item,,,Cooking Sake,料理酒
foodSake_desc,items,Item,,,"Japanese rice wine for cooking. Removes odor and adds umami.","料理用の日本酒。臭み消しと旨味付けに。"
foodSoySauce,items,Item,,,Soy Sauce,醤油
foodSoySauce_desc,items,Item,,,"Fermented soybean sauce. The backbone of Japanese cooking.","大豆を発酵させた万能調味料。和食の基本。"
foodSalt,items,Item,,,Salt,塩
foodSalt_desc,items,Item,,,"Basic seasoning. Also used for preservation and purification.","基本の調味料。保存や清めにも使える。"
foodSaltBundle,items,Item,,,Salt Bundle,塩（まとめ）
foodSaltBundle_desc,items,Item,,,"A large bag of salt. Open to get 100 salt.","塩の大袋。開封すると塩100個を入手。"
foodSuger,items,Item,,,Sugar,砂糖
foodSuger_desc,items,Item,,,"Sweetener for cooking and making sweets.","料理や甘味作りに使う甘味料。"
foodSugerBundle,items,Item,,,Sugar Bundle,砂糖（まとめ）
foodSugerBundle_desc,items,Item,,,"A large bag of sugar. Open to get 100 sugar.","砂糖の大袋。開封すると砂糖100個を入手。"
foodOil,items,Item,,,Cooking Oil,食用油
foodOil_desc,items,Item,,,"Oil for frying and stir-frying. Essential for tempura and karaage.","揚げ物・炒め物に使う油。天ぷらや唐揚げに必須。"
foodVinegar,items,Item,,,Rice Vinegar,酢
foodVinegar_desc,items,Item,,,"Mild vinegar made from rice. Used for sushi and pickles.","米から作った穏やかな酢。寿司や酢の物に。"
foodOnion,items,Item,,,Onion,玉ねぎ
foodOnion_desc,items,Item,,,"A versatile vegetable used in many dishes.","様々な料理に使える万能野菜。"
foodGreenOnion,items,Item,,,Green Onion,ねぎ
foodGreenOnion_desc,items,Item,,,"Adds flavor and color to soups and grilled dishes.","汁物や焼き物の薬味に。"
foodRice,items,Item,,,Uncooked Rice,生米
foodRice_desc,items,Item,,,"Raw rice grains. Cook to make steamed rice.","生の米。炊いて白飯にする。"
foodMiso,items,Item,,,Miso Paste,味噌
foodMiso_desc,items,Item,,,"Fermented soybean paste. The soul of miso soup.","大豆を発酵させた味噌。味噌汁の魂。"
foodDashi,items,Item,,,Dashi Stock,だし
foodDashi_desc,items,Item,,,"Japanese soup stock made from fish. Base of all soups.","魚から取った出汁。汁物の基本。"
foodFlour,items,Item,,,Wheat Flour,小麦粉
foodFlour_desc,items,Item,,,"Ground wheat. Used for tempura batter, udon, and more.","小麦を挽いた粉。天ぷらの衣やうどんに。"
foodPanko,items,Item,,,Panko Breadcrumbs,パン粉
foodPanko_desc,items,Item,,,"Crispy breadcrumbs for deep frying. Makes perfect katsu.","揚げ物用のサクサクパン粉。カツに最適。"
cropSoybean,items,Item,,,Soybean,大豆
cropSoybean_desc,items,Item,,,"Versatile legume. Used to make tofu, miso, and soy sauce.","万能な豆。豆腐・味噌・醤油の原料。"
cropDaikon,items,Item,,,Daikon Radish,大根
cropDaikon_desc,items,Item,,,"Large white radish. Great in stews and pickled.","大きな白い根菜。煮物や漬物に最適。"
cropHakusai,items,Item,,,Napa Cabbage,白菜
cropHakusai_desc,items,Item,,,"Leafy vegetable for hot pots and pickles.","鍋物や漬物に使う葉物野菜。"
cropShiitake,items,Item,,,Shiitake Mushroom,しいたけ
cropShiitake_desc,items,Item,,,"Aromatic mushroom with rich umami flavor.","豊かな旨味を持つ香り高いキノコ。"
cropWasabi,items,Item,,,Wasabi,わさび
cropWasabi_desc,items,Item,,,"Pungent green condiment. Rare and valuable.","辛味のある緑の薬味。希少で高価値。"
foodKoji,items,Item,,,Koji,麹
foodKoji_desc,items,Item,,,"Fermentation starter made from rice. Key to miso, sake, and amazake.","米から作る発酵種。味噌・酒・甘酒の素。"
foodAnko,items,Item,,,Red Bean Paste,あんこ
foodAnko_desc,items,Item,,,"Sweet bean paste for traditional Japanese sweets.","和菓子に使う甘い豆のペースト。"
foodTofu,items,Item,,,Tofu,豆腐
foodTofu_desc,items,Item,,,"Soft soybean curd. Nutritious and versatile.","柔らかい大豆の加工品。栄養豊富で万能。"
foodTeaLeaf,items,Item,,,Tea Leaves,茶葉
foodTeaLeaf_desc,items,Item,,,"Dried green tea leaves. Brew for a calming drink.","乾燥した緑茶の葉。淹れると落ち着く飲み物に。"
foodSteamedRice,items,Item,,,Steamed Rice,白飯
foodSteamedRice_desc,items,Item,,,"Freshly cooked rice. The foundation of Japanese meals.","炊きたてのご飯。和食の基本。"
foodOnigiriUme,items,Item,,,Onigiri (Ume),おにぎり（梅）
